,blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,Location 1,lat,long
14738,4778B045,0,SABINA-MATTFELDT,5.0,NORTHERN,"(39.36450446, -76.64812969)",39.36450446,-76.64812969
14739,8270 093,0,GROVE PARK,5.0,NORTHWESTERN,"(39.33806648, -76.70299481)",39.33806648,-76.70299481
14740,4483 012,0,MOUNT WASHINGTON,5.0,NORTHERN,"(39.35635836, -76.6766283)",39.35635836,-76.6766283
14741,4268 008C,0, ,, ,"(39.35276882, -76.71127074)",39.35276882,-76.71127074
14742,0303 020,509 BAKER ST,DRUID HEIGHTS,7.0,CENTRAL,"(39.30935979, -76.63857624)",39.30935979,-76.63857624
14743,8393K006A,0,WEST FOREST PARK,8.0,SOUTHWESTERN,"(39.315147, -76.70139815)",39.315147,-76.70139815
14744,4532 015,3401 INGLESIDE AVE,PIMLICO GOOD NEIGHBORS,5.0,NORTHWESTERN,"(39.35201709, -76.68067478)",39.35201709,-76.68067478
14745,5216 058,0,WRENLANE,4.0,NORTHERN,"(39.34452997, -76.60576522)",39.34452997,-76.60576522
14746,7000 018,0,HAWKINS POINT,10.0,SOUTHERN,"(39.20766045, -76.57007329)",39.20766045,-76.57007329
14747,2487 104,0,EDGEWOOD,8.0,SOUTHWESTERN,"(39.29455191, -76.67920532)",39.29455191,-76.67920532
14748,7380 012,3720 LEO ST,FAIRFIELD AREA,10.0,SOUTHERN,"(39.23064638, -76.56872167)",39.23064638,-76.56872167
14749,3575 065,3860 QUARRY AVE,HAMPDEN,7.0,NORTHERN,"(39.33506829, -76.6377294)",39.33506829,-76.6377294
14750,0018 024,0,EASTERWOOD,7.0,WESTERN,"(39.30530607, -76.64987315)",39.30530607,-76.64987315
14751,3408 091,1516 KENSETT ST,PENN NORTH,7.0,WESTERN,"(39.3132831, -76.64357883)",39.3132831,-76.64357883
14752,1456 107,1724 TERRELL PL,BROADWAY EAST,12.0,EASTERN,"(39.31031819, -76.59359998)",39.31031819,-76.59359998
14753,0126 007,514 N CARROLLTON AVE,HARLEM PARK,9.0,WESTERN,"(39.29466731, -76.63737679)",39.29466731,-76.63737679
14754,0778 067,1361 WARD ST,WASHINGTON VILLAGE/PIGTOWN,10.0,SOUTHERN,"(39.27926925, -76.63571877)",39.27926925,-76.63571877
14755,6732 118,0,GRACELAND PARK,1.0,SOUTHEASTERN,"(39.28258874, -76.53135391)",39.28258874,-76.53135391
14756,0066 021,1005 N CARROLLTON AVE,SANDTOWN-WINCHESTER,9.0,WESTERN,"(39.30050965, -76.63716726)",39.30050965,-76.63716726
14757,4736 015,0,MOUNT WASHINGTON,5.0,NORTHERN,"(39.35565684, -76.66295166)",39.35565684,-76.66295166
14758,5210C164,1312 LIMIT AVE,IDLEWOOD,4.0,NORTHEASTERN,"(39.37199537, -76.58985814)",39.37199537,-76.58985814
14759,0933 061,1026 OLIVE ST,FEDERAL HILL,11.0,SOUTHERN,"(39.27711256, -76.61507764)",39.27711256,-76.61507764
14760,7876 002,1933 MAISEL ST,SAINT PAUL,10.0,SOUTHERN,"(39.27000903, -76.64638857)",39.27000903,-76.64638857
14761,5216 055,0,WRENLANE,4.0,NORTHERN,"(39.3446807, -76.6057283)",39.3446807,-76.6057283
14762,1180 002,502 E EAGER ST,JOHNSTON SQUARE,12.0,EASTERN,"(39.30147935, -76.60889076)",39.30147935,-76.60889076
14763,1364 055,1008 E LOMBARD ST,JONESTOWN,12.0,SOUTHEASTERN,"(39.28954737, -76.60194541)",39.28954737,-76.60194541
14764,0080 025,906 N FREMONT AVE,SANDTOWN-WINCHESTER,9.0,WESTERN,"(39.29973361, -76.635068)",39.29973361,-76.635068
14765,2034 007K,0,LOCUST POINT INDUSTRIAL AREA,11.0,SOUTHERN,"(39.27022869, -76.59964991)",39.27022869,-76.59964991
14766,3884 037,3407 BRENTWOOD AVE,OAKENSHAWE,14.0,NORTHERN,"(39.32968131, -76.61012976)",39.32968131,-76.61012976
14767,4652K005,0,MOUNT WASHINGTON,5.0,NORTHERN,"(39.36733288, -76.65744654)",39.36733288,-76.65744654
14768,0340 043,416 WILSON ST,UPTON,11.0,CENTRAL,"(39.30543208, -76.63228743)",39.30543208,-76.63228743
14769,6050 126,0,FRANKFORD,2.0,NORTHEASTERN,"(39.32366485, -76.53583105)",39.32366485,-76.53583105
14770,3523 001,0,HAMPDEN,7.0,NORTHERN,"(39.32804881, -76.63695227)",39.32804881,-76.63695227
14771,8424A010,0,FRANKLINTOWN,8.0,SOUTHWESTERN,"(39.30730815, -76.7107085)",39.30730815,-76.7107085
14772,0431 013,1106 ARGYLE AVE,UPTON,11.0,CENTRAL,"(39.29793985, -76.6298436)",39.29793985,-76.6298436
14773,1476F006A,0,BEREA,13.0,EASTERN,"(39.30970254, -76.5753795)",39.30970254,-76.5753795
14774,0218 082,1005 BOOTH ST,HOLLINS MARKET,9.0,SOUTHERN,"(39.28812372, -76.63423374)",39.28812372,-76.63423374
14775,0097 022,1717 W LANVALE ST,HARLEM PARK,9.0,WESTERN,"(39.29746282, -76.64479293)",39.29746282,-76.64479293
14776,1449 022,1808 N CASTLE ST,BROADWAY EAST,12.0,EASTERN,"(39.31134877, -76.58964685)",39.31134877,-76.58964685
14777,0035 048,1372 N CALHOUN ST,SANDTOWN-WINCHESTER,7.0,WESTERN,"(39.30514444, -76.64072638)",39.30514444,-76.64072638
14778,1654 068,2302 JEFFERSON ST,MCELDERRY PARK,13.0,SOUTHEASTERN,"(39.29680638, -76.58454561)",39.29680638,-76.58454561
14779,1184 012,922 E EAGER ST,JOHNSTON SQUARE,12.0,EASTERN,"(39.30166409, -76.60429756)",39.30166409,-76.60429756
14780,1112 018,1007 E LANVALE ST,OLIVER,12.0,EASTERN,"(39.30908278, -76.60371163)",39.30908278,-76.60371163
14781,0252 041,916 W PRATT ST,HOLLINS MARKET,9.0,SOUTHERN,"(39.28595341, -76.63292041)",39.28595341,-76.63292041
14782,7373 005,3617 FAIRFIELD ROAD,FAIRFIELD AREA,10.0,SOUTHERN,"(39.23089926, -76.57452069)",39.23089926,-76.57452069
14783,1104 070,1716 BRENTWOOD AVE,GREENMOUNT WEST,12.0,EASTERN,"(39.30956318, -76.61023289)",39.30956318,-76.61023289
14784,2178 057,2618 FREDERICK AVE,SHIPLEY HILL,9.0,SOUTHWESTERN,"(39.28235656, -76.65785351)",39.28235656,-76.65785351
14785,0362 029,0,UPTON,11.0,CENTRAL,"(39.30364441, -76.63124984)",39.30364441,-76.63124984
14786,4629 007,0,CENTRAL PARK HEIGHTS,6.0,NORTHWESTERN,"(39.34097981, -76.66617165)",39.34097981,-76.66617165
14787,0079 034,1120 SMALL ST,SANDTOWN-WINCHESTER,9.0,WESTERN,"(39.29975628, -76.63681832)",39.29975628,-76.63681832
14788,1520 044,2423 E HOFFMAN ST,BROADWAY EAST,13.0,EASTERN,"(39.30667706, -76.58344346)",39.30667706,-76.58344346
14789,4008 013,1925 SHERWOOD AVE,EAST BALTIMORE MIDWAY,12.0,EASTERN,"(39.31261988, -76.60075087)",39.31261988,-76.60075087
14790,4008 009,1917 SHERWOOD AVE,EAST BALTIMORE MIDWAY,12.0,EASTERN,"(39.31248829, -76.6007421)",39.31248829,-76.6007421
14791,0499 088,529 ORCHARD ST,SETON HILL,11.0,CENTRAL,"(39.29726816, -76.62384002)",39.29726816,-76.62384002
14792,7.81E+16,0,MORRELL PARK,10.0,SOUTHWESTERN,"(39.27120004, -76.65345791)",39.27120004,-76.65345791
14793,7479 011,2620 PIERPONT ST,MOUNT WINANS,10.0,SOUTHERN,"(39.26023667, -76.64379569)",39.26023667,-76.64379569
14794,0026 013,1424 N FULTON AVE,SANDTOWN-WINCHESTER,7.0,WESTERN,"(39.30485517, -76.64644052)",39.30485517,-76.64644052
14795,6135B142,4347 ORCHARD RIDGE BLVD,ORCHARD RIDGE,13.0,NORTHEASTERN,"(39.31196435, -76.55997774)",39.31196435,-76.55997774
14796,0122 051,513 N MOUNT ST,HARLEM PARK,9.0,WESTERN,"(39.29459812, -76.64345809)",39.29459812,-76.64345809
14797,2311 041,1807 WHITMORE AVE,COPPIN HEIGHTS/ASH-CO-EAST,7.0,WESTERN,"(39.30853856, -76.65879294)",39.30853856,-76.65879294
14798,2123B081A,0,GWYNNS FALLS,10.0,SOUTHWESTERN,"(39.27959737, -76.66771912)",39.27959737,-76.66771912
14799,1536 051,1218 N BRADFORD ST,BROADWAY EAST,13.0,EASTERN,"(39.30527257, -76.58498922)",39.30527257,-76.58498922
14800,1521 025,1303 N ROSE ST,BEREA,13.0,EASTERN,"(39.30645084, -76.58203417)",39.30645084,-76.58203417
14801,0392 039,825 N FREMONT AVE,UPTON,11.0,CENTRAL,"(39.29875493, -76.63393133)",39.29875493,-76.63393133
14802,0338 080,1717 BRUNT ST,UPTON,11.0,CENTRAL,"(39.30449616, -76.63453656)",39.30449616,-76.63453656
14803,4605 059,3214 WOODLAND AVE,CENTRAL PARK HEIGHTS,6.0,NORTHWESTERN,"(39.34494916, -76.67228328)",39.34494916,-76.67228328
14804,7258 040,0,CURTIS BAY,10.0,SOUTHERN,"(39.23125732, -76.591841)",39.23125732,-76.591841
14805,2484 102,0,EDGEWOOD,8.0,SOUTHWESTERN,"(39.29461525, -76.67477706)",39.29461525,-76.67477706
14806,4123 003,1705 GORSUCH AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14.0,NORTHEASTERN,"(39.32067183, -76.59420138)",39.32067183,-76.59420138
14807,5691 078,0,GLENHAM-BELHAR,2.0,NORTHEASTERN,"(39.34822552, -76.54383498)",39.34822552,-76.54383498
14808,3424 106,2204 MORRIS ST,RESERVOIR HILL,7.0,CENTRAL,"(39.31104736, -76.63559444)",39.31104736,-76.63559444
14809,6993 029,0,SAINT HELENA,1.0,SOUTHEASTERN,"(39.25878711, -76.53155591)",39.25878711,-76.53155591
14810,2382 032,2700 PROSPECT ST,MOSHER,9.0,WESTERN,"(39.29881793, -76.66211299)",39.29881793,-76.66211299
14811,3701B066,0,ROLAND PARK,14.0,NORTHERN,"(39.34033546, -76.62607236)",39.34033546,-76.62607236
14812,3357 005,0,WOODBERRY,6.0,NORTHERN,"(39.33935778, -76.65752086)",39.33935778,-76.65752086
14813,6473 010,3518 O'DONNELL ST,CANTON,1.0,SOUTHEASTERN,"(39.28073729, -76.5670959)",39.28073729,-76.5670959
14814,0489 023,810 MADISON AVE,SETON HILL,11.0,CENTRAL,"(39.29911423, -76.62249463)",39.29911423,-76.62249463
14815,3806 003,338 E 20TH ST,BARCLAY,12.0,EASTERN,"(39.31262733, -76.61127663)",39.31262733,-76.61127663
14816,8102N063,0,IRVINGTON,8.0,SOUTHWESTERN,"(39.28556325, -76.69302636)",39.28556325,-76.69302636
14817,6063 005,0,PULASKI INDUSTRIAL AREA,2.0,NORTHEASTERN,"(39.31390176, -76.54326362)",39.31390176,-76.54326362
14818,5797 048,0,WALTHERSON,3.0,NORTHEASTERN,"(39.34902746, -76.56289134)",39.34902746,-76.56289134
14819,2400 003,2657 W NORTH AVE,COPPIN HEIGHTS/ASH-CO-EAST,7.0,WESTERN,"(39.3090009, -76.6607365)",39.3090009,-76.6607365
14820,1008 062A,0,RIVERSIDE,11.0,SOUTHERN,"(39.27214608, -76.61035581)",39.27214608,-76.61035581
14821,3200 007,0,MONDAWMIN,7.0,WESTERN,"(39.31433812, -76.65691133)",39.31433812,-76.65691133
14822,1553 023,2244 E CHASE ST,MIDDLE EAST,13.0,EASTERN,"(39.3037626, -76.58573791)",39.3037626,-76.58573791
14823,4778C002,0,SABINA-MATTFELDT,5.0,NORTHERN,"(39.36771688, -76.64956418)",39.36771688,-76.64956418
14824,7419D011,2133 ANNAPOLIS ROAD,WESTPORT,10.0,SOUTHERN,"(39.26451448, -76.6327255)",39.26451448,-76.6327255
14825,1927A034B,0,RIVERSIDE,11.0,SOUTHERN,"(39.27503392, -76.605291)",39.27503392,-76.605291
14826,0321 071,502 ROBERT ST,DRUID HEIGHTS,11.0,CENTRAL,"(39.3065748, -76.63488635)",39.3065748,-76.63488635
14827,1104 073,1723 BRENTWOOD AVE,GREENMOUNT WEST,12.0,EASTERN,"(39.30963548, -76.60996434)",39.30963548,-76.60996434
14828,0119 099,1932 W FRANKLIN ST,MIDTOWN-EDMONDSON,9.0,WESTERN,"(39.29398631, -76.64839492)",39.29398631,-76.64839492
14829,5452A020,0,HAMILTON HILLS,3.0,NORTHEASTERN,"(39.36429958, -76.56027632)",39.36429958,-76.56027632
14830,0698 082,2004 CHRISTIAN ST,CARROLLTON RIDGE,9.0,SOUTHERN,"(39.2822503, -76.6486614)",39.2822503,-76.6486614
14831,8030G002,524 SWANN AVE,UPLANDS,8.0,SOUTHWESTERN,"(39.29234897, -76.69414362)",39.29234897,-76.69414362
14832,4917 030,0,HOES HEIGHTS,7.0,NORTHERN,"(39.34183392, -76.63690024)",39.34183392,-76.63690024
14833,3446 088,699 NEWINGTON AVE,RESERVOIR HILL,7.0,CENTRAL,"(39.31335862, -76.62946826)",39.31335862,-76.62946826
14834,6812 012,0,BROENING MANOR,1.0,SOUTHEASTERN,"(39.27528831, -76.54323368)",39.27528831,-76.54323368
14835,1098 016,1704 HOLBROOK ST,OLIVER,12.0,EASTERN,"(39.30942768, -76.60350219)",39.30942768,-76.60350219
14836,5180A069,0,WINSTON-GOVANS,4.0,NORTHERN,"(39.34947403, -76.60711749)",39.34947403,-76.60711749
14837,2754 024,0,CONCERNED CITIZENS OF FOREST PARK,6.0,NORTHWESTERN,"(39.32340116, -76.6825057)",39.32340116,-76.6825057
14838,0431 006,644 W HOFFMAN ST,UPTON,11.0,CENTRAL,"(39.29774225, -76.63000612)",39.29774225,-76.63000612
14839,0297 069,602 BAKER ST,SANDTOWN-WINCHESTER,7.0,WESTERN,"(39.30823396, -76.64074774)",39.30823396,-76.64074774
14840,3301 051,3209 VIRGINIA AVE,CENTRAL PARK HEIGHTS,6.0,NORTHWESTERN,"(39.34352895, -76.67108159)",39.34352895,-76.67108159
14841,5165 103,0,WINSTON-GOVANS,4.0,NORTHERN,"(39.35217985, -76.60769271)",39.35217985,-76.60769271
14842,1554 055,2314 E CHASE ST,BIDDLE STREET,13.0,EASTERN,"(39.30380782, -76.58455793)",39.30380782,-76.58455793
14843,2183C078,65 ELLICOTT DR,SHIPLEY HILL,9.0,SOUTHWESTERN,"(39.28603831, -76.65887532)",39.28603831,-76.65887532
14844,5053F068,0,KERNEWOOD,4.0,NORTHERN,"(39.34747404, -76.61254327)",39.34747404,-76.61254327
14845,7437 003,2207 ANNAPOLIS ROAD,WESTPORT,10.0,SOUTHERN,"(39.26411234, -76.63297189)",39.26411234,-76.63297189
14846,0293 076,1700 WOODYEAR PL,SANDTOWN-WINCHESTER,7.0,WESTERN,"(39.30866733, -76.64362905)",39.30866733,-76.64362905
14847,7703K025,0,MORRELL PARK,10.0,SOUTHWESTERN,"(39.26345211, -76.66390126)",39.26345211,-76.66390126
14848,0185 126,1005 VINE ST,POPPLETON,9.0,WESTERN,"(39.29028131, -76.63501779)",39.29028131,-76.63501779
14849,1537 063,2400 MURA ST,BROADWAY EAST,13.0,EASTERN,"(39.30537428, -76.58337427)",39.30537428,-76.58337427
14850,1480 033,2007 E FEDERAL ST,BROADWAY EAST,12.0,EASTERN,"(39.30851346, -76.58965433)",39.30851346,-76.58965433
14851,6732 134,0,GRACELAND PARK,1.0,SOUTHEASTERN,"(39.28199045, -76.53076975)",39.28199045,-76.53076975
14852,4175 034,1905 N PATTERSON PARK AVE,SOUTH CLIFTON PARK,12.0,EASTERN,"(39.3130084, -76.58581245)",39.3130084,-76.58581245
14853,1604 023,2001 ASHLAND AVE,MIDDLE EAST,13.0,EASTERN,"(39.30049994, -76.58923962)",39.30049994,-76.58923962
14854,0160 013,2125 W SARATOGA ST,PENROSE/FAYETTE STREET OUTREACH,9.0,WESTERN,"(39.29163857, -76.65099048)",39.29163857,-76.65099048
14855,5093B070,0,ROSEBANK,4.0,NORTHERN,"(39.36358383, -76.61168459)",39.36358383,-76.61168459
14856,3085 021A,2641 GWYNNS FALLS PKWY,PANWAY/BRADDISH AVENUE,7.0,WESTERN,"(39.31456266, -76.66152478)",39.31456266,-76.66152478
14857,1480 011,1512 N GAY ST,BROADWAY EAST,12.0,EASTERN,"(39.30809446, -76.58966396)",39.30809446,-76.58966396
14858,0303 055,518 GOLD ST,DRUID HEIGHTS,7.0,CENTRAL,"(39.30865748, -76.63817946)",39.30865748,-76.63817946
14859,3719 019,3903 HADLEY SQUARE EAST,GUILFORD,14.0,NORTHERN,"(39.33669381, -76.6160033)",39.33669381,-76.6160033
14860,0080 004,1008 W LAFAYETTE AVE,SANDTOWN-WINCHESTER,9.0,WESTERN,"(39.29944706, -76.63506876)",39.29944706,-76.63506876
14861,1120 033,402 E OLIVER ST,GREENMOUNT WEST,12.0,EASTERN,"(39.30703093, -76.61046468)",39.30703093,-76.61046468
14862,1992 013,1629 CUBA ST,LOCUST POINT,11.0,SOUTHERN,"(39.27125388, -76.58984217)",39.27125388,-76.58984217
14863,0250 024,131 S CARROLLTON AVE,HOLLINS MARKET,9.0,SOUTHERN,"(39.2857752, -76.63638843)",39.2857752,-76.63638843
14864,6159A052,0,ELLWOOD PARK/MONUMENT,13.0,SOUTHEASTERN,"(39.29597062, -76.57085055)",39.29597062,-76.57085055
14865,1480 032,2009 E FEDERAL ST,BROADWAY EAST,12.0,EASTERN,"(39.30853324, -76.5896085)",39.30853324,-76.5896085
14866,0400 072,0,BOLTON HILL,11.0,CENTRAL,"(39.3055764, -76.62538785)",39.3055764,-76.62538785
14867,1449 032,1828 N CASTLE ST,BROADWAY EAST,12.0,EASTERN,"(39.31176699, -76.58967352)",39.31176699,-76.58967352
14868,8102N043,0,IRVINGTON,8.0,SOUTHWESTERN,"(39.28544472, -76.69275264)",39.28544472,-76.69275264
14869,0297 002,2302 PENNSYLVANIA AVE,SANDTOWN-WINCHESTER,7.0,WESTERN,"(39.30829883, -76.64086061)",39.30829883,-76.64086061
14870,0097 015,1703 W LANVALE ST,HARLEM PARK,9.0,WESTERN,"(39.29747362, -76.64447073)",39.29747362,-76.64447073
14871,3503 049,722 SINGER AVE,HAMPDEN,14.0,NORTHERN,"(39.32621092, -76.62872212)",39.32621092,-76.62872212
14872,1653 094,521 N MADEIRA ST,CARE,13.0,EASTERN,"(39.29723909, -76.58568358)",39.29723909,-76.58568358
14873,7187 030,0,CURTIS BAY,10.0,SOUTHERN,"(39.22231897, -76.59223401)",39.22231897,-76.59223401
14874,8393K002,0,WEST FOREST PARK,8.0,SOUTHWESTERN,"(39.31532035, -76.70075659)",39.31532035,-76.70075659
14875,1158 078,1218 HOLBROOK ST,OLIVER,12.0,EASTERN,"(39.30457085, -76.60305286)",39.30457085,-76.60305286
14876,5204 013,0,PEN LUCY,4.0,NORTHERN,"(39.34197459, -76.60147838)",39.34197459,-76.60147838
14877,5470A019,2906 OAKCREST AVE,NORTH HARFORD ROAD,3.0,NORTHEASTERN,"(39.37195708, -76.54651614)",39.37195708,-76.54651614
14878,4061 021,0,EAST BALTIMORE MIDWAY,12.0,EASTERN,"(39.31722157, -76.60564095)",39.31722157,-76.60564095
14879,3327D024,3506 COTWOOD PL,PARK CIRCLE,6.0,NORTHWESTERN,"(39.32903137, -76.65745055)",39.32903137,-76.65745055
14880,1157 099A,0,JOHNSTON SQUARE,12.0,EASTERN,"(39.30446488, -76.60427555)",39.30446488,-76.60427555
14881,1104 078,1713 BRENTWOOD AVE,GREENMOUNT WEST,12.0,EASTERN,"(39.30948679, -76.60995821)",39.30948679,-76.60995821
14882,8393M003,0,DICKEYVILLE,8.0,SOUTHWESTERN,"(39.3186619, -76.70781994)",39.3186619,-76.70781994
14883,3422 059A,0,RESERVOIR HILL,7.0,CENTRAL,"(39.31106541, -76.63697723)",39.31106541,-76.63697723
14884,1458 084,1715 N CHAPEL ST,BROADWAY EAST,12.0,EASTERN,"(39.31029886, -76.59081296)",39.31029886,-76.59081296
14885,1476F030A,0,BEREA,13.0,EASTERN,"(39.3097277, -76.57367421)",39.3097277,-76.57367421
14886,5089 021A,0,LAKE EVESHAM,4.0,NORTHERN,"(39.36499128, -76.61531084)",39.36499128,-76.61531084
14887,0432 025,1137 ARGYLE AVE,UPTON,11.0,CENTRAL,"(39.29870572, -76.63011053)",39.29870572,-76.63011053
14888,2880D002,0,FAIRMONT,7.0,SOUTHWESTERN,"(39.30713383, -76.67920498)",39.30713383,-76.67920498
14889,5812B029,0,WALTHERSON,2.0,NORTHEASTERN,"(39.34206633, -76.54696987)",39.34206633,-76.54696987
14890,0076 079,911 WHATCOAT ST,SANDTOWN-WINCHESTER,9.0,WESTERN,"(39.29946673, -76.64077787)",39.29946673,-76.64077787
14891,3443 014,728 LENNOX ST,RESERVOIR HILL,7.0,CENTRAL,"(39.31204287, -76.62911773)",39.31204287,-76.62911773
14892,1476F018A,0,BEREA,13.0,EASTERN,"(39.30971537, -76.57452798)",39.30971537,-76.57452798
14893,3345 007,2604 SHIRLEY AVE,GREENSPRING,6.0,NORTHERN,"(39.33524858, -76.6615911)",39.33524858,-76.6615911
14894,2750 046,4025 OSKAMP CT,CONCERNED CITIZENS OF FOREST PARK,6.0,NORTHWESTERN,"(39.32269151, -76.68517828)",39.32269151,-76.68517828
14895,3190 050,0,TOWANDA-GRANTLEY,6.0,NORTHWESTERN,"(39.33863752, -76.66973211)",39.33863752,-76.66973211
14896,4200 003,3404 SHELBURNE ROAD,CROSS COUNTRY,5.0,NORTHWESTERN,"(39.37184619, -76.7060217)",39.37184619,-76.7060217
14897,3008 015,1901 BRADDISH AVE,MONDAWMIN,7.0,WESTERN,"(39.30990285, -76.66097986)",39.30990285,-76.66097986
14898,0259 024,205 S PAYSON ST,CARROLLTON RIDGE,9.0,SOUTHERN,"(39.28462528, -76.64828785)",39.28462528,-76.64828785
14899,0302 053,544 GOLD ST,DRUID HEIGHTS,7.0,CENTRAL,"(39.30818427, -76.63874289)",39.30818427,-76.63874289
14900,0187 101,122 N AMITY ST,POPPLETON,9.0,WESTERN,"(39.2905438, -76.63334827)",39.2905438,-76.63334827
14901,3969L070,0,HILLEN,3.0,NORTHEASTERN,"(39.34404964, -76.58682256)",39.34404964,-76.58682256
14902,2470 028,932 POPLAR GROVE ST,FRANKLINTOWN ROAD,9.0,SOUTHWESTERN,"(39.29881627, -76.6656702)",39.29881627,-76.6656702
14903,3411 033,2545 FLORA ST,PENN NORTH,7.0,WESTERN,"(39.31405312, -76.64246142)",39.31405312,-76.64246142
14904,0089 023,821 N CALHOUN ST,HARLEM PARK,9.0,WESTERN,"(39.29853577, -76.63982386)",39.29853577,-76.63982386
14905,0150 066,312 N VINCENT ST,FRANKLIN SQUARE,9.0,WESTERN,"(39.29261747, -76.64345035)",39.29261747,-76.64345035
14906,2950 010A,0,CALLAWAY-GARRISON,6.0,NORTHWESTERN,"(39.33515483, -76.67695328)",39.33515483,-76.67695328
14907,7257 039,0,CURTIS BAY,10.0,SOUTHERN,"(39.23085828, -76.59335982)",39.23085828,-76.59335982
14908,3816 060,2224 BARCLAY ST,BARCLAY,12.0,EASTERN,"(39.3150955, -76.61142611)",39.3150955,-76.61142611
14909,1513 065,1717 ELLSWORTH ST,BROADWAY EAST,12.0,EASTERN,"(39.30578842, -76.5938332)",39.30578842,-76.5938332
14910,4675B001,0,MOUNT WASHINGTON,5.0,NORTHERN,"(39.36568733, -76.66387934)",39.36568733,-76.66387934
14911,4622 002,3134 VIRGINIA AVE,CENTRAL PARK HEIGHTS,6.0,NORTHWESTERN,"(39.34487062, -76.6696523)",39.34487062,-76.6696523
14912,0300B054,1418 SCHOOL ST,SANDTOWN-WINCHESTER,7.0,WESTERN,"(39.30591324, -76.64138723)",39.30591324,-76.64138723
14913,0031 041,1847 LORMAN ST,SANDTOWN-WINCHESTER,7.0,WESTERN,"(39.30396205, -76.64753703)",39.30396205,-76.64753703
14914,0034 133,1450 N PARRISH ST,SANDTOWN-WINCHESTER,7.0,WESTERN,"(39.30509029, -76.64273078)",39.30509029,-76.64273078
14915,1651 017,533 N CASTLE ST,CARE,13.0,EASTERN,"(39.29714035, -76.58838824)",39.29714035,-76.58838824
14916,2530D051C,0,IRVINGTON,8.0,SOUTHWESTERN,"(39.27804506, -76.68533433)",39.27804506,-76.68533433
14917,4000 018,534 E NORTH AVE,EAST BALTIMORE MIDWAY,12.0,EASTERN,"(39.31175684, -76.60845916)",39.31175684,-76.60845916
14918,3325 001,3500 PARK HEIGHTS AVE,PARK CIRCLE,6.0,NORTHWESTERN,"(39.32819505, -76.65849767)",39.32819505,-76.65849767
14919,3824 018,403 E 24TH ST,BARCLAY,12.0,EASTERN,"(39.31608719, -76.61075921)",39.31608719,-76.61075921
14920,4007 014,1900 SHERWOOD AVE,EAST BALTIMORE MIDWAY,12.0,EASTERN,"(39.31221141, -76.60102991)",39.31221141,-76.60102991
14921,4539 065,4110 W BELVEDERE AVE,WOODMERE,6.0,NORTHWESTERN,"(39.34270324, -76.68406483)",39.34270324,-76.68406483
14922,4131 009,1528 GORSUCH AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14.0,NORTHEASTERN,"(39.32238146, -76.59607967)",39.32238146,-76.59607967
14923,8280 011,0,HOWARD PARK,5.0,NORTHWESTERN,"(39.33403544, -76.70192986)",39.33403544,-76.70192986
14924,1517 094,2025 ELLSWORTH ST,BROADWAY EAST,13.0,EASTERN,"(39.30596931, -76.58912579)",39.30596931,-76.58912579
14925,0396 053,1305 ETTING ST,UPTON,11.0,CENTRAL,"(39.30199589, -76.62937346)",39.30199589,-76.62937346
14926,0156 029,1048 W SARATOGA ST,POPPLETON,9.0,WESTERN,"(39.29258164, -76.63523155)",39.29258164,-76.63523155
14927,6719 029,0,GRACELAND PARK,1.0,SOUTHEASTERN,"(39.28404349, -76.53578677)",39.28404349,-76.53578677
14928,6628 029,513 PONCA ST,GREEKTOWN,1.0,SOUTHEASTERN,"(39.28646936, -76.55461436)",39.28646936,-76.55461436
14929,3112 071,0,ASHBURTON,7.0,NORTHWESTERN,"(39.32568012, -76.6644918)",39.32568012,-76.6644918
14930,6135B108,4205 SAINT CLAIR CT,ORCHARD RIDGE,13.0,NORTHEASTERN,"(39.3114733, -76.55905495)",39.3114733,-76.55905495
14931,7874 003,0,SAINT PAUL,10.0,SOUTHERN,"(39.27057117, -76.64756676)",39.27057117,-76.64756676
14932,0244 071,1714 LEMMON ST,UNION SQUARE,9.0,SOUTHERN,"(39.28583564, -76.64438242)",39.28583564,-76.64438242
14933,7385 024,3816 LEO ST,FAIRFIELD AREA,10.0,SOUTHERN,"(39.2299343, -76.56850656)",39.2299343,-76.56850656
14934,2243C005,161 S MORLEY ST,SAINT JOSEPHS,8.0,SOUTHWESTERN,"(39.28390785, -76.67676241)",39.28390785,-76.67676241
14935,7567 031,0,CHERRY HILL,10.0,SOUTHERN,"(39.2461727, -76.63448578)",39.2461727,-76.63448578
14936,3350D114,0,PARKLANE,6.0,NORTHERN,"(39.3419023, -76.66285787)",39.3419023,-76.66285787
14937,0061 053,1628 MOSHER ST,SANDTOWN-WINCHESTER,9.0,WESTERN,"(39.30013014, -76.64396526)",39.30013014,-76.64396526
14938,5864F018A,0,BEVERLY HILLS,3.0,NORTHEASTERN,"(39.34145418, -76.56941515)",39.34145418,-76.56941515
14939,1531 024,1206 N WOLFE ST,BROADWAY EAST,12.0,EASTERN,"(39.30487658, -76.59152557)",39.30487658,-76.59152557
14940,0818 026,831 W OSTEND ST,CARROLL - CAMDEN INDUSTRIAL AREA,10.0,SOUTHERN,"(39.27807907, -76.62944454)",39.27807907,-76.62944454
